Edad,estrato,price_plan,mes,dia,venta,plan_MB,genero_label,tipo_plan_label,nombre_zone_N,nombre_zone_O,nombre_zone_S,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-69,motivo_rechazo_solicitud_Doble Solicitud,motivo_rechazo_solicitud_Errores en la Solicitud,motivo_rechazo_solicitud_Falta de Interés,motivo_rechazo_solicitud_Financiero,motivo_rechazo_solicitud_No Aplica,motivo_rechazo_solicitud_Otro,motivo_rechazo_solicitud_Tiempos y Procesos
25,4,70549.0,2,16,0,200,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
62,4,76415.0,12,3,0,250,1,1,True,False,False,False,False,False,True,False,False,False,False,False,False,True
34,2,70549.0,6,4,1,200,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False
31,3,63749.0,1,10,0,100,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False
59,1,61965.0,8,7,1,250,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
49,3,79049.0,4,19,0,300,0,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False
31,3,63749.0,4,4,1,100,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False
56,1,63749.0,2,25,1,100,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
38,3,69749.0,10,2,0,300,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False
36,3,68850.0,10,11,1,350,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
56,2,61965.0,11,13,1,250,0,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False
30,2,63749.0,5,22,1,100,1,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
40,1,63749.0,2,21,1,100,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
61,1,70549.0,3,11,1,200,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
50,1,61965.0,8,20,0,250,0,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False
61,3,68850.0,9,19,1,350,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
48,2,63749.0,3,5,1,100,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
22,3,74399.0,6,17,1,300,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
22,2,68850.0,7,24,1,350,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
55,4,82999.0,4,4,1,200,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
49,1,69749.0,6,18,1,300,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False
56,1,63749.0,4,16,0,100,0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False
23,1,68850.0,9,9,1,350,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
30,2,68850.0,7,10,1,350,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
28,3,61965.0,8,31,0,250,1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
48,1,63749.0,1,30,0,100,1,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False
24,3,62250.0,6,24,1,200,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False
60,5,74999.0,4,2,1,100,1,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
