is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,H,58,Cali,1,69749.0,O,Voluntario,SI,No Aplica,8,11,1,50-59,Internet,300
Orden creada,H,24,Jamundi,4,56249.0,S,No Aplica,NO,No Aplica,8,11,1,18-29,Internet,100
Orden creada,M,50,Cali,3,69749.0,O,Voluntario,SI,No Aplica,8,11,1,50-59,Internet,300
Orden creada,M,56,Cali,3,59999.0,N,Anulacion,SI,No Aplica,8,11,1,50-59,Internet-voz,100
Rechazado,H,59,Cali,2,62250.0,O,No Aplica,NO,Otro,8,11,0,50-59,Internet,200
Orden creada,H,47,Cali,3,74399.0,O,No Aplica,NO,No Aplica,8,11,1,40-49,Internet-voz,300
Orden creada,H,33,Cali,3,69749.0,C,No Aplica,NO,No Aplica,8,11,1,30-39,Internet,300
Orden creada,H,26,Cali,2,74399.0,O,Voluntario,SI,No Aplica,8,11,1,18-29,Internet-voz,300
Orden creada,H,62,Cali,4,66399.0,O,Voluntario,SI,No Aplica,8,11,1,60-69,Internet-voz,200
Orden creada,H,46,Cali,3,62250.0,S,Voluntario,SI,No Aplica,8,11,1,40-49,Internet,200
Orden creada,H,50,Cali,3,69749.0,S,No Aplica,NO,No Aplica,8,12,1,50-59,Internet,300
Orden creada,M,23,Cali,2,66399.0,O,Cartera,SI,No Aplica,8,12,1,18-29,Internet-voz,200
Rechazado,M,42,Cali,1,74399.0,O,No Aplica,NO,Otro,8,14,0,40-49,Internet-voz,300
Orden creada,H,22,Cali,4,66399.0,C,No Aplica,NO,No Aplica,8,14,1,18-29,Internet-voz,200
Orden creada,H,30,Cali,4,62250.0,S,Voluntario,SI,No Aplica,8,14,1,30-39,Internet,200
Orden creada,H,62,Cali,1,74399.0,O,Voluntario,SI,No Aplica,8,14,1,60-69,Internet-voz,300
Orden creada,H,42,Cali,3,74399.0,S,No Aplica,NO,No Aplica,8,14,1,40-49,Internet-voz,300
Orden creada,M,43,Cali,5,66399.0,N,No Aplica,NO,No Aplica,8,14,1,40-49,Internet-voz,200
Orden creada,M,49,Cali,2,74399.0,O,No Aplica,NO,No Aplica,8,14,1,40-49,Internet-voz,300
Orden creada,H,22,Cali,1,62250.0,O,No Aplica,NO,No Aplica,8,14,1,18-29,Internet,200
Orden creada,H,64,Cali,4,66399.0,N,Voluntario,SI,No Aplica,8,14,1,60-69,Internet-voz,200
Orden creada,M,22,Cali,3,59999.0,O,No Aplica,NO,No Aplica,8,14,1,18-29,Internet-voz,100
Rechazado,H,25,Cali,2,59999.0,O,No Aplica,NO,Otro,8,14,0,18-29,Internet-voz,100
Orden creada,H,65,Cali,2,66399.0,O,No Aplica,NO,No Aplica,8,15,1,60-69,Internet-voz,200
Orden creada,H,43,Cali,1,56249.0,O,No Aplica,NO,No Aplica,8,15,1,40-49,Internet,100
Orden creada,M,32,Cali,1,74399.0,O,No Aplica,NO,No Aplica,8,15,1,30-39,Internet-voz,300
Orden creada,H,47,Cali,4,62250.0,S,No Aplica,NO,No Aplica,8,15,1,40-49,Internet,200
Orden creada,M,43,Cali,3,62250.0,O,No Aplica,NO,No Aplica,8,15,1,40-49,Internet,200
Rechazado,H,50,Cali,3,59999.0,O,No Aplica,NO,Otro,8,15,0,50-59,Internet-voz,100
Orden creada,H,65,Cali,4,59999.0,O,Anulacion,SI,No Aplica,8,15,1,60-69,Internet-voz,100
Orden creada,H,64,Cali,2,56249.0,O,No Aplica,NO,No Aplica,8,15,1,60-69,Internet,100
Orden creada,M,37,Cali,1,59999.0,C,Cartera,SI,No Aplica,8,15,1,30-39,Internet-voz,100
Orden creada,H,24,Cali,3,59999.0,O,No Aplica,NO,No Aplica,8,15,1,18-29,Internet-voz,100
Orden creada,M,40,Cali,3,62250.0,N,Voluntario,SI,No Aplica,8,16,1,40-49,Internet,200
Orden creada,H,58,Cali,3,59999.0,O,No Aplica,NO,No Aplica,8,16,1,50-59,Internet-voz,100
Orden creada,H,36,Cali,5,66399.0,N,No Aplica,NO,No Aplica,8,16,1,30-39,Internet-voz,200
Rechazado,H,32,Cali,3,56249.0,S,No Aplica,NO,Otro,8,16,0,30-39,Internet,100
Orden creada,H,22,Cali,2,66399.0,O,Cartera,SI,No Aplica,8,16,1,18-29,Internet-voz,200
Orden creada,H,58,Cali,1,56249.0,O,Voluntario,SI,No Aplica,8,16,1,50-59,Internet,100
Orden creada,H,40,Cali,2,66399.0,O,No Aplica,NO,No Aplica,8,16,1,40-49,Internet-voz,200
Orden creada,M,28,Cali,2,66399.0,N,No Aplica,NO,No Aplica,8,16,1,18-29,Internet-voz,200
Orden creada,M,62,Cali,1,66399.0,O,No Aplica,NO,No Aplica,8,17,1,60-69,Internet-voz,200
Orden creada,M,60,Cali,2,56249.0,O,No Aplica,NO,No Aplica,8,17,1,60-69,Internet,100
Orden creada,M,41,Jamundi,3,62250.0,S,No Aplica,NO,No Aplica,8,17,1,40-49,Internet,200
Orden creada,H,44,Cali,2,56249.0,O,No Aplica,NO,No Aplica,8,17,1,40-49,Internet,100
Orden creada,H,19,Cali,5,66399.0,C,Anulacion,SI,No Aplica,8,17,1,18-29,Internet-voz,200
